param N = 19;
param M = 7;

param capacity :=
 1    10
 2    51
 3   100
 4    50
 5    88
 6    10
 7    37
 8    70
 9    23
10    51
11    34
12    63
13   100
14    12
15   100
16    35
17    50
18    24
19    80
;

param demand :=
 1 5.789130
 2 5.617782
 3 5.599500
 4 5.546394
 5 5.527889
 6 5.720472
 7 5.772079
;

param supplycost : 1 2 3 4 5 6 7 :=
 1  1723  1340  1590   219   945   988  1292
 2  1012   420   666   980   975   892   589
 3  1013   421   667   989   984   901   598
 4  1860  1342  1592   356  1082   943  1296
 5   773   965   722  1812  1388  1633  1382
 6   900  1000   978  1218  1488  1237  1102
 7  1150  1525  1603   878   979  1084  1326
 8   368  1064   821  1541   823  1199   848
 9  1364  1359  1609   727   813   918  1160
10  1364  1359  1609   727   813   918  1160
11  1353  1836  1790   704  1334  1484  1798
12  1405  1194  1444   807  1454  1242  1217
13  1124   798  1048   938  1207   957   821
14  1490  1424  1674   561   878   983  1225
15  1115   904  1154  1043  1313  1062   927
16  1283  1729  1683   597  1264  1377  1691
17  1580  1661  1658   861  1609  1642  1685
18  1253   747   994   791  1061   714   770
19   884  1463  1337   980   741   992  1088
;

param fixcost :=
 1    90
 2   306
 3   700
 4   850
 5  1408
 6   100
 7   370
 8   450
 9   130
10   459
11   340
12   441
13  1500
14   366
15  1429
16   534
17   520
18   293
19   832
;
