0	7651	5837	19756	14605	18493	8815	15546	19092	23918	23324	18820	17592	17251	5158	12509	21564	22774	23724	12436	20043	20357	19402	8466	18581	19401	9348	14732	31359	17899	5517	19813	1389	5062	19551	13879	12543	7383	8669	25240	12277	13734	8126	14684	5701	28054	4170	5600	9114	7803	10417	21375	21139	8256	28665	24329	28987	29892	24474	6217	12567	24472	29117	11843	18828	8463	10141	14106	17497	29455	4721	26594	21423	31911	7943	13020	14531	6150	20029	5225	7055	4136	31363	13478	20531	6707	21214	23813	11895
8225	0	1871	11542	10612	9505	6369	7893	12029	12970	20750	10606	10910	11094	4247	9936	18990	15711	21150	7930	11112	11426	11188	8714	10741	12338	15708	7184	31396	15325	6288	12750	6401	4198	12488	11305	11327	13743	6095	15009	8324	7328	14486	8684	12061	30026	10530	4508	10477	14163	7845	14312	14076	14616	28702	21756	28296	29929	21900	7948	8021	21899	26543	10279	11765	10320	7594	11532	8840	26882	3186	14045	18849	17050	5375	6001	11957	3694	11815	6956	1864	4815	31400	6415	10437	2741	10921	30173	7389
3809	2607	0	13189	17176	11152	7723	9248	13676	14617	21608	12253	12790	12449	2376	10794	19848	17358	22008	9285	12759	13073	12835	6172	12388	13985	11919	9460	33930	16183	4568	14397	3306	2517	14135	12163	15114	9954	6953	27811	9971	8975	10697	10331	5789	30625	6741	2637	8340	7517	9492	15959	15723	10827	31236	22614	29154	32463	22758	6228	9376	22757	27401	9666	13412	7384	7965	12390	10487	27740	3135	15692	19707	18697	6730	7648	12815	3368	13462	5236	2722	3095	33934	8062	12084	1663	12568	26384	8744
21565	11348	13219	0	7182	6804	10530	8090	10053	10994	17556	1704	4680	4338	12315	11027	18695	4907	17956	7730	2437	2751	3359	12082	3547	7959	12161	8191	8907	20015	14827	10774	18485	15546	7697	11446	9409	12542	11348	4200	7095	7136	12790	7279	13597	6992	19794	13436	11177	12467	6224	4575	4957	12498	6213	11896	6535	7440	9044	13606	8218	9664	23349	8858	8618	12926	10304	12319	4061	7081	14534	6641	18161	4149	8389	7035	11260	10711	1017	12994	13212	12657	8911	8468	3230	12040	4439	4559	7984
15688	9169	11040	7649	0	4071	4766	2326	11686	12627	17434	6286	3341	3000	9584	13351	16504	10739	17834	3528	5792	6106	7986	6318	4330	11348	6397	9602	21663	16237	9063	12407	16623	20108	11468	12857	3645	6778	11879	9689	4656	4706	7026	8690	7833	18357	9354	11003	5413	6703	3785	10406	9968	6734	18969	24367	19291	20196	13394	7842	2454	15496	23227	3094	11421	7162	4540	13730	6797	21039	12354	12473	15112	12079	5950	8446	12671	8012	6971	7230	11032	9324	21667	9655	6280	9843	8435	10047	3659
15679	7454	9325	4985	6124	0	6215	5526	7615	8556	13363	4049	4252	4594	8421	8367	12433	8499	13763	4008	4388	4702	4631	7730	3401	7277	9493	5531	13892	12166	10475	8336	13855	11652	7397	8786	7662	9941	8688	8285	3373	3243	9775	4619	9245	11977	10766	9919	8731	9800	3014	6849	6613	10385	11198	12437	11520	12425	9323	9254	5655	11983	19156	7998	7350	8574	5952	9659	2726	11675	10640	8984	11041	9133	5004	4375	8600	6817	5258	8642	9318	9039	13896	5808	3713	8523	4364	8643	4262
7715	4403	6274	10489	6113	5011	0	3394	10503	11444	16928	7225	6936	6595	4818	8585	15321	14185	17328	3430	9387	9701	10135	4178	6246	10812	6701	7386	19396	13146	4954	11224	8650	8601	10962	9930	6828	7187	7113	13284	2741	3793	6983	7158	5445	17481	6305	6237	5977	7046	3350	12786	12550	7593	16702	16002	17024	17929	12888	4942	3522	15548	22721	5780	10239	5820	3218	10803	8230	15210	7588	12519	13929	15524	876	4475	9744	3246	10762	3950	6266	4558	19400	4889	7549	5077	10825	13642	3151
12031	6843	8714	9033	3902	5607	2440	0	12943	13884	19368	7821	4725	4384	7258	11025	17761	12123	19768	2661	7176	7490	9521	3992	5714	13252	4418	9826	23047	15586	6737	13664	12966	11041	13402	12370	4617	4452	9553	11073	2502	3959	4700	9598	5507	19741	7028	8677	3087	4377	3856	11790	12172	5310	20353	18442	20675	21580	15328	5516	1311	17988	25161	3497	12679	4836	2214	13243	7354	17650	10028	14959	16369	13463	3316	6915	12184	5686	8355	4904	8706	6998	23051	7329	7664	7517	8992	11431	2120
21965	11948	13819	9458	12697	10276	11971	13496	0	1752	9820	9359	10199	10541	13050	8334	5629	8469	10220	13532	11715	12029	6653	14317	10030	4507	16802	6496	20466	5362	15094	2347	20141	20054	2577	8388	14235	27483	14628	13772	10477	9481	17084	6330	16593	19096	24270	14469	16079	17148	10128	7439	7203	28356	17772	8947	17366	18999	5833	15082	13624	8493	15613	15881	1627	15922	13196	8490	6262	9494	19713	6803	4237	9808	10978	7124	8202	11310	10295	14090	16731	13668	20470	6342	12508	13017	6298	21766	12991
21187	11979	13850	9489	12728	10307	12002	13527	811	0	9042	9390	10230	10572	13081	8365	4851	8500	9442	13563	11746	12060	6684	14348	10061	4538	16833	6527	19688	4584	15125	2378	19363	19276	2608	8419	14266	26705	13850	13803	10508	9512	17115	6361	16624	18318	23492	14500	16110	17179	10159	7470	7234	27578	16994	8169	16588	18221	5055	15113	13655	7715	14835	15912	1658	15953	13227	7712	6293	9525	18935	6834	3459	9839	11009	7155	8233	11341	10326	14121	15953	13699	19692	6373	12539	13048	6329	20988	13022
26657	23734	23393	19477	35468	17097	20237	21762	11713	10903	0	21181	17608	23815	27442	18649	9494	12323	2411	18483	21914	22686	12842	33259	16958	10696	34141	14861	17541	10814	30310	12035	24833	24747	9074	14937	34733	32176	19321	18537	17848	16852	32919	13949	30494	16171	28963	27702	33907	32596	17499	13416	13393	33049	14847	7901	14441	16074	7638	31010	21890	7966	7804	22016	10128	33256	21462	13182	13707	13027	24406	9782	8961	13662	19243	15390	15589	25950	20494	30018	21424	28929	17545	14608	22707	24263	13743	18841	18737
18604	9643	11514	3354	6983	5099	8232	8625	8348	9289	13645	0	3668	4010	10610	9322	13036	6868	14045	6025	4005	4319	3000	9747	3018	6575	11510	6486	12261	12769	13037	9069	16780	13841	7338	9741	9058	11958	9643	6810	5390	5431	11792	5574	11262	10346	12783	11731	10748	11817	4519	5218	4982	13034	9567	15250	9889	10794	11005	11271	8754	11625	19438	9394	8259	10591	7969	10614	2356	10435	12829	8602	11645	7503	6684	5330	9555	9006	3628	12033	11507	10952	12265	6763	3330	10335	2734	7169	6279
